Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF ELECTROLITIC","CP_Radial_D5.0mm_P2.50mm",103.405113,-88.030000,180.000000,top
"C2","0.1uF","C_Disc_D3.0mm_W1.6mm_P2.50mm",142.850000,-127.770000,180.000000,top
"C3","0.1uF","C_Disc_D3.0mm_W1.6mm_P2.50mm",97.440000,-127.720000,180.000000,top
"J1","NES72PinConnector","NES72PinEdgeConnector2",55.586600,-132.128600,0.000000,top
"U1","SST39SF010","DIP-32_W15.24mm",143.250000,-109.890000,-90.000000,top
"U2","SST39SF010","DIP-32_W15.24mm",100.006700,-109.890000,-90.000000,top
"U4","4078","DIP-14_W7.62mm",146.215000,-78.210000,-90.000000,top
"U5","~","DIP-16_W7.62mm",69.970000,-90.960000,180.000000,top
"U6","ATtiny13-20P","DIP-8_W7.62mm",73.260000,-75.720000,0.000000,top
"U9","MROM","DIP-28_W15.24mm",93.040000,-52.755000,-90.000000,top
"U10","MROM","DIP-28_W15.24mm",146.460000,-52.885000,-90.000000,top
"U11","4082","DIP-14_W7.62mm",111.475000,-85.780000,90.000000,top
"U12","74AHC1G32","SOT-23-5",140.190000,-90.190000,90.000000,top
"U13","74AHC1G32","SOT-23-5",115.770000,-90.190000,-90.000000,top
"U14","74AHC1G04","SOT-23-5",112.270000,-90.190000,-90.000000,top
"U15","74AHC1G04","SOT-23-5",119.260000,-90.190000,-90.000000,top
